parameter,value
"Total consumption",6682.35
"Sum of all exports",1097.286
"Sum of all respiratory flows",2391.7
"Sum of all flows into detritus",3837.65
"Total system throughput",14008.99
"Sum of all production",5142.437
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000664796
"Calculated total net primary production",3435.068
"Total primary production/total respiration",1.436245
"Net system production",1043.368
"Total primary production/total biomass",8.037141
"Total biomass/total throughput",0.03050894
"Total biomass (excluding detritus)",427.3992
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005357
"Total market value",2.14144
"Total shadow value",0.07117922
"Total value",2.212619
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4994677
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033504
