parameter,value
"Total consumption",6735.119
"Sum of all exports",1108.17
"Sum of all respiratory flows",2446.496
"Sum of all flows into detritus",3846.2
"Total system throughput",14135.98
"Sum of all production",5183.882
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006527698
"Calculated total net primary production",3498.353
"Total primary production/total respiration",1.429945
"Net system production",1051.857
"Total primary production/total biomass",8.207441
"Total biomass/total throughput",0.03015295
"Total biomass (excluding detritus)",426.2416
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004262
"Total market value",2.14144
"Total shadow value",0.06777927
"Total value",2.209219
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4960679
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034964
