parameter,value
"Total consumption",6752.696
"Sum of all exports",1111.333
"Sum of all respiratory flows",2410.083
"Sum of all flows into detritus",3818.137
"Total system throughput",14092.25
"Sum of all production",5197.396
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006591952
"Calculated total net primary production",3464.253
"Total primary production/total respiration",1.4374
"Net system production",1054.17
"Total primary production/total biomass",8.042013
"Total biomass/total throughput",0.03056782
"Total biomass (excluding detritus)",430.7694
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002374
"Total market value",2.14144
"Total shadow value",0.07033616
"Total value",2.211776
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4986247
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031962
