parameter,value
"Total consumption",6874.266
"Sum of all exports",1105.685
"Sum of all respiratory flows",2481.307
"Sum of all flows into detritus",3906.655
"Total system throughput",14367.91
"Sum of all production",5267.491
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006463283
"Calculated total net primary production",3533.219
"Total primary production/total respiration",1.423935
"Net system production",1051.912
"Total primary production/total biomass",8.154037
"Total biomass/total throughput",0.03015812
"Total biomass (excluding detritus)",433.3092
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002353
"Total market value",2.14144
"Total shadow value",0.07142053
"Total value",2.21286
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.499709
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.027732
