parameter,value
"Total consumption",6737.497
"Sum of all exports",1131.25
"Sum of all respiratory flows",2393.807
"Sum of all flows into detritus",3840.032
"Total system throughput",14102.59
"Sum of all production",5209.967
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006579008
"Calculated total net primary production",3471.069
"Total primary production/total respiration",1.450021
"Net system production",1077.263
"Total primary production/total biomass",8.036076
"Total biomass/total throughput",0.03062813
"Total biomass (excluding detritus)",431.9359
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004579
"Total market value",2.14144
"Total shadow value",0.07354276
"Total value",2.214983
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5018314
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033097
