GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.001006234,0.05161072,6.047786,0,0.008533821,0,0,0,0,0.05161072,1
2,Salmon_sharks,0.2204211,0.1014332,5.903948,0.5131408,0.01718057,0.05204951,0,0,0,0.04938368,0.4868592
3,Resident_orca,0.01467649,0.04962062,8.540803,0,0.005809831,0,0,0,0,0.04962062,1
4,Sleeper_sharks,0.1087097,0.0692514,3.682746,0,0.01880428,0,0,0,0,0.0692514,1
5,Halibut,0.6678887,0.3131203,1.730851,0.2606542,0.1809054,0.02566973,0.05594641,0,0,0.2315042,0.9180196
6,Pinnipeds,0.07225236,0.05985745,25.60621,0.8130943,0.002337615,0.009131563,0.03953819,0,0,0.0111877,0.8474448
7,Porpoise,0.01489744,0.1464698,29.77052,0.9584767,0.004919962,0.0002703767,0.1401176,0,0,0.006081908,0.998154
8,Lingcod,0.07863972,0.5821792,3.347002,0.8018125,0.1739405,0.02019908,0.4465995,0,0,0.1153806,0.9653044
9,Arrowtooth_L,3.920582,0.250631,1.41761,0.1376614,0.1767982,0.0003723661,0.03412986,0,0,0.2161288,0.9985143
10,Salmon_L,3.39571,1.532215,11.59131,0.684327,0.1321865,0.5476087,0.5009276,0,0,0.4836791,0.6426034
11,Pacific_cod,0.303783,1.198037,3.989833,0.6792052,0.3002724,0.21842,0.5952929,0,0,0.384324,0.817685
12,Sablefish,0.472391,0.5517638,6.606744,0.8913876,0.08351524,0.03960767,0.4522278,0,0,0.05992837,0.9282163
13,Arrowtooth_S,0.2336826,0.2126903,3.216265,0.9772763,0.06612959,0,0.2078571,0,0,0.004833117,1
14,Spiny_dogfish,0.1591354,0.09244632,2.923574,0.7177156,0.03162099,0,0.06635016,0,0,0.02609616,1
15,Avian_raptors,0.003250887,0.04987371,37.24523,0,0.001339063,0,0,0,0,0.04987371,1
16,Octopods,0.1596969,3.005882,11.7276,0.9401388,0.2563083,0.001447038,2.824499,0,0,0.1799358,0.9995186
17,Seabirds,0.02211206,0.170655,150.8039,0.6722522,0.001131635,0,0.1147232,0,0,0.05593178,1
18,Deep_demersals,0.9958219,1.013125,3.168002,0.927023,0.3197994,0.002713211,0.936477,0,0,0.07393483,0.997322
19,Pollock_L,5.113591,1.293955,2.634852,0.5462267,0.491092,0.03186489,0.6749276,0,0,0.5871621,0.975374
20,Rockfish,1.05986,0.299386,3.404361,0.7503662,0.08794193,0.01293476,0.2117144,0,0,0.07473687,0.9567957
21,Baleen_whales,0.1492171,0.04848678,10.97311,0.08011305,0.004418689,0,0.003884424,0,0,0.04460235,1
