parameter,value
"Total consumption",6696.73
"Sum of all exports",1148.132
"Sum of all respiratory flows",2394.805
"Sum of all flows into detritus",3890.413
"Total system throughput",14130.08
"Sum of all production",5202.849
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006544616
"Calculated total net primary production",3489.31
"Total primary production/total respiration",1.457033
"Net system production",1094.505
"Total primary production/total biomass",8.235476
"Total biomass/total throughput",0.02998515
"Total biomass (excluding detritus)",423.6926
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002554
"Total market value",2.14144
"Total shadow value",0.06810059
"Total value",2.209541
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4963893
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.038958
