parameter,value
"Total consumption",6787.78
"Sum of all exports",1137.671
"Sum of all respiratory flows",2449.152
"Sum of all flows into detritus",3888
"Total system throughput",14262.6
"Sum of all production",5245.635
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006469944
"Calculated total net primary production",3529.581
"Total primary production/total respiration",1.441144
"Net system production",1080.429
"Total primary production/total biomass",8.180473
"Total biomass/total throughput",0.03025143
"Total biomass (excluding detritus)",431.4642
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999355
"Total market value",2.14144
"Total shadow value",0.07555601
"Total value",2.216996
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5038446
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034843
