parameter,value
"Total consumption",6760.936
"Sum of all exports",1147.349
"Sum of all respiratory flows",2427.847
"Sum of all flows into detritus",3885.392
"Total system throughput",14221.52
"Sum of all production",5238.402
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000648809
"Calculated total net primary production",3519.71
"Total primary production/total respiration",1.449725
"Net system production",1091.863
"Total primary production/total biomass",8.208668
"Total biomass/total throughput",0.03015005
"Total biomass (excluding detritus)",428.7797
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001781
"Total market value",2.14144
"Total shadow value",0.0693019
"Total value",2.210742
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4975904
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036112
