parameter,value
"Total consumption",6865.79
"Sum of all exports",1231.62
"Sum of all respiratory flows",2456.547
"Sum of all flows into detritus",3997
"Total system throughput",14550.96
"Sum of all production",5386.268
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006285699
"Calculated total net primary production",3633.04
"Total primary production/total respiration",1.478922
"Net system production",1176.493
"Total primary production/total biomass",8.372448
"Total biomass/total throughput",0.02982127
"Total biomass (excluding detritus)",433.9281
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002621
"Total market value",2.14144
"Total shadow value",0.07323133
"Total value",2.214671
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5015198
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028041
