parameter,value
"Total consumption",6784.924
"Sum of all exports",992.2077
"Sum of all respiratory flows",2449.594
"Sum of all flows into detritus",3755.088
"Total system throughput",13981.81
"Sum of all production",5099.021
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006743015
"Calculated total net primary production",3386.644
"Total primary production/total respiration",1.382533
"Net system production",937.05
"Total primary production/total biomass",7.918933
"Total biomass/total throughput",0.03058717
"Total biomass (excluding detritus)",427.6642
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003057
"Total market value",2.14144
"Total shadow value",0.07108148
"Total value",2.212521
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.49937
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033935
