parameter,value
"Total consumption",6721.062
"Sum of all exports",1168.807
"Sum of all respiratory flows",2386.81
"Sum of all flows into detritus",3873.641
"Total system throughput",14150.32
"Sum of all production",5236.277
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006527238
"Calculated total net primary production",3498.6
"Total primary production/total respiration",1.465806
"Net system production",1111.79
"Total primary production/total biomass",8.137213
"Total biomass/total throughput",0.03038452
"Total biomass (excluding detritus)",429.9506
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000417
"Total market value",2.14144
"Total shadow value",0.07058617
"Total value",2.212026
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4988748
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036469
