parameter,value
"Total consumption",6711.032
"Sum of all exports",1149.884
"Sum of all respiratory flows",2390.813
"Sum of all flows into detritus",3838.611
"Total system throughput",14090.34
"Sum of all production",5211.246
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006552517
"Calculated total net primary production",3485.103
"Total primary production/total respiration",1.457706
"Net system production",1094.289
"Total primary production/total biomass",8.087987
"Total biomass/total throughput",0.03058114
"Total biomass (excluding detritus)",430.8986
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001154
"Total market value",2.14144
"Total shadow value",0.073426
"Total value",2.214866
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5017146
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034981
