parameter,value
"Total consumption",6847.227
"Sum of all exports",1214.515
"Sum of all respiratory flows",2476.03
"Sum of all flows into detritus",4011.339
"Total system throughput",14549.11
"Sum of all production",5360.07
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006280127
"Calculated total net primary production",3636.263
"Total primary production/total respiration",1.468586
"Net system production",1160.233
"Total primary production/total biomass",8.41034
"Total biomass/total throughput",0.02971702
"Total biomass (excluding detritus)",432.3562
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200277
"Total market value",2.14144
"Total shadow value",0.07049584
"Total value",2.211936
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4987844
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034891
