parameter,value
"Total consumption",6759.936
"Sum of all exports",1196.08
"Sum of all respiratory flows",2403.8
"Sum of all flows into detritus",3921.794
"Total system throughput",14281.61
"Sum of all production",5287.904
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006442938
"Calculated total net primary production",3544.375
"Total primary production/total respiration",1.474488
"Net system production",1140.575
"Total primary production/total biomass",8.260862
"Total biomass/total throughput",0.03004258
"Total biomass (excluding detritus)",429.0564
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000525
"Total market value",2.14144
"Total shadow value",0.07283697
"Total value",2.214277
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5011255
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035498
