parameter,value
"Total consumption",6742.882
"Sum of all exports",1162.15
"Sum of all respiratory flows",2415.002
"Sum of all flows into detritus",3903.677
"Total system throughput",14223.71
"Sum of all production",5242.864
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006483584
"Calculated total net primary production",3522.156
"Total primary production/total respiration",1.458448
"Net system production",1107.154
"Total primary production/total biomass",8.235878
"Total biomass/total throughput",0.0300667
"Total biomass (excluding detritus)",427.6601
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002228
"Total market value",2.14144
"Total shadow value",0.06929292
"Total value",2.210733
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4975816
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034173
