parameter,value
"Total consumption",6817.325
"Sum of all exports",1146.552
"Sum of all respiratory flows",2453.812
"Sum of all flows into detritus",3908.539
"Total system throughput",14326.23
"Sum of all production",5272.99
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006440294
"Calculated total net primary production",3545.831
"Total primary production/total respiration",1.44503
"Net system production",1092.019
"Total primary production/total biomass",8.26825
"Total biomass/total throughput",0.02993454
"Total biomass (excluding detritus)",428.8491
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1998564
"Total market value",2.14144
"Total shadow value",0.06799639
"Total value",2.209436
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4962851
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033338
