parameter,value
"Total consumption",6714.676
"Sum of all exports",1105.793
"Sum of all respiratory flows",2383.998
"Sum of all flows into detritus",3790.575
"Total system throughput",13995.04
"Sum of all production",5171.008
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006647807
"Calculated total net primary production",3435.147
"Total primary production/total respiration",1.440919
"Net system production",1051.149
"Total primary production/total biomass",8.055752
"Total biomass/total throughput",0.03046948
"Total biomass (excluding detritus)",426.4216
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002145
"Total market value",2.14144
"Total shadow value",0.07343279
"Total value",2.214873
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5017213
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.038828
