parameter,value
"Total consumption",6811.724
"Sum of all exports",1254.753
"Sum of all respiratory flows",2418.338
"Sum of all flows into detritus",3973.479
"Total system throughput",14458.29
"Sum of all production",5379.15
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006309279
"Calculated total net primary production",3619.462
"Total primary production/total respiration",1.496673
"Net system production",1201.124
"Total primary production/total biomass",8.389625
"Total biomass/total throughput",0.02983901
"Total biomass (excluding detritus)",431.4212
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1998814
"Total market value",2.14144
"Total shadow value",0.06862119
"Total value",2.210061
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4969097
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033747
