parameter,value
"Total consumption",6808.739
"Sum of all exports",1182.316
"Sum of all respiratory flows",2422.989
"Sum of all flows into detritus",3915.29
"Total system throughput",14329.33
"Sum of all production",5302.648
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006433427
"Calculated total net primary production",3549.616
"Total primary production/total respiration",1.464974
"Net system production",1126.627
"Total primary production/total biomass",8.224291
"Total biomass/total throughput",0.03012013
"Total biomass (excluding detritus)",431.6014
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999834
"Total market value",2.14144
"Total shadow value",0.06742226
"Total value",2.208862
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4957107
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028901
