parameter,value
"Total consumption",6762.386
"Sum of all exports",1164.44
"Sum of all respiratory flows",2425.5
"Sum of all flows into detritus",3867.659
"Total system throughput",14219.98
"Sum of all production",5258.806
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006458808
"Calculated total net primary production",3535.667
"Total primary production/total respiration",1.457707
"Net system production",1110.167
"Total primary production/total biomass",8.205597
"Total biomass/total throughput",0.03030135
"Total biomass (excluding detritus)",430.8848
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200407
"Total market value",2.14144
"Total shadow value",0.07225156
"Total value",2.213691
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5005401
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033728
