parameter,value
"Total consumption",6704.699
"Sum of all exports",1073.093
"Sum of all respiratory flows",2370.667
"Sum of all flows into detritus",3787.472
"Total system throughput",13935.93
"Sum of all production",5131.559
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006739388
"Calculated total net primary production",3388.467
"Total primary production/total respiration",1.429331
"Net system production",1017.8
"Total primary production/total biomass",7.82004
"Total biomass/total throughput",0.03109269
"Total biomass (excluding detritus)",433.3056
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004265
"Total market value",2.14144
"Total shadow value",0.07175487
"Total value",2.213195
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5000435
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030662
