parameter,value
"Total consumption",6773.499
"Sum of all exports",1128.44
"Sum of all respiratory flows",2434.153
"Sum of all flows into detritus",3874.183
"Total system throughput",14210.27
"Sum of all production",5229.075
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006510011
"Calculated total net primary production",3507.858
"Total primary production/total respiration",1.4411
"Net system production",1073.705
"Total primary production/total biomass",8.155927
"Total biomass/total throughput",0.03026678
"Total biomass (excluding detritus)",430.0993
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001236
"Total market value",2.14144
"Total shadow value",0.06975977
"Total value",2.2112
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4980484
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036365
