parameter,value
"Total consumption",6797.136
"Sum of all exports",1111.035
"Sum of all respiratory flows",2443.242
"Sum of all flows into detritus",3833.396
"Total system throughput",14184.81
"Sum of all production",5223.105
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006526902
"Calculated total net primary production",3498.78
"Total primary production/total respiration",1.432024
"Net system production",1055.538
"Total primary production/total biomass",8.168758
"Total biomass/total throughput",0.03019514
"Total biomass (excluding detritus)",428.3123
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003501
"Total market value",2.14144
"Total shadow value",0.06893269
"Total value",2.210373
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4972214
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028214
