parameter,value
"Total consumption",6670.925
"Sum of all exports",1097.058
"Sum of all respiratory flows",2374.146
"Sum of all flows into detritus",3828.792
"Total system throughput",13970.92
"Sum of all production",5135.728
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006682467
"Calculated total net primary production",3417.33
"Total primary production/total respiration",1.439394
"Net system production",1043.184
"Total primary production/total biomass",8.010955
"Total biomass/total throughput",0.03053357
"Total biomass (excluding detritus)",426.5821
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005473
"Total market value",2.14144
"Total shadow value",0.0694092
"Total value",2.210849
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4976977
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036408
