parameter,value
"Total consumption",6737.8
"Sum of all exports",1131.717
"Sum of all respiratory flows",2430
"Sum of all flows into detritus",3884.538
"Total system throughput",14184.06
"Sum of all production",5210.412
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006508896
"Calculated total net primary production",3508.458
"Total primary production/total respiration",1.44381
"Net system production",1078.458
"Total primary production/total biomass",8.204282
"Total biomass/total throughput",0.03014917
"Total biomass (excluding detritus)",427.6375
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002756
"Total market value",2.14144
"Total shadow value",0.06983742
"Total value",2.211277
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4981259
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03359
