parameter,value
"Total consumption",6812.674
"Sum of all exports",1137.003
"Sum of all respiratory flows",2442.525
"Sum of all flows into detritus",3949.566
"Total system throughput",14341.77
"Sum of all production",5259.72
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006479929
"Calculated total net primary production",3524.142
"Total primary production/total respiration",1.442827
"Net system production",1081.617
"Total primary production/total biomass",8.202916
"Total biomass/total throughput",0.02995591
"Total biomass (excluding detritus)",429.6207
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002269
"Total market value",2.14144
"Total shadow value",0.07105637
"Total value",2.212496
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4993449
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029401
