parameter,value
"Total consumption",6746.056
"Sum of all exports",1110.785
"Sum of all respiratory flows",2426.747
"Sum of all flows into detritus",3857.586
"Total system throughput",14141.17
"Sum of all production",5194.235
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000655759
"Calculated total net primary production",3482.406
"Total primary production/total respiration",1.43501
"Net system production",1055.66
"Total primary production/total biomass",8.057384
"Total biomass/total throughput",0.03056329
"Total biomass (excluding detritus)",432.2007
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001458
"Total market value",2.14144
"Total shadow value",0.07385405
"Total value",2.215294
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5021425
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032542
