parameter,value
"Total consumption",6817.964
"Sum of all exports",1187.253
"Sum of all respiratory flows",2432.8
"Sum of all flows into detritus",3939.019
"Total system throughput",14377.04
"Sum of all production",5313.091
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006407007
"Calculated total net primary production",3564.253
"Total primary production/total respiration",1.465083
"Net system production",1131.453
"Total primary production/total biomass",8.271259
"Total biomass/total throughput",0.02997281
"Total biomass (excluding detritus)",430.9202
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004229
"Total market value",2.14144
"Total shadow value",0.06929618
"Total value",2.210736
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4975847
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030012
