parameter,value
"Total consumption",6852.403
"Sum of all exports",1188.952
"Sum of all respiratory flows",2444.142
"Sum of all flows into detritus",3983.858
"Total system throughput",14469.35
"Sum of all production",5336.208
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006380845
"Calculated total net primary production",3578.867
"Total primary production/total respiration",1.464263
"Net system production",1134.725
"Total primary production/total biomass",8.292892
"Total biomass/total throughput",0.02982568
"Total biomass (excluding detritus)",431.5583
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200218
"Total market value",2.14144
"Total shadow value",0.07108185
"Total value",2.212522
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4993705
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033751
