GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.0009882889,0.05168337,5.972293,0,0.008653858,0,0,0,0,0.05168337,1
2,Salmon_sharks,0.2145705,0.09721205,5.904857,0.5500215,0.01646307,0.05346872,0,0,0,0.04374334,0.4499785
3,Resident_orca,0.01518513,0.05070583,8.8775,0,0.005711725,0,0,0,0,0.05070583,1
4,Sleeper_sharks,0.1065437,0.07019675,3.663103,0,0.0191632,0,0,0,0,0.07019675,1
5,Halibut,0.6681033,0.3201969,1.672688,0.2521416,0.1914265,0.02566149,0.05507345,0,0,0.2394619,0.9198571
6,Pinnipeds,0.07031813,0.05885368,25.62299,0.8289357,0.00229691,0.009382743,0.03940317,0,0,0.01006776,0.8405751
7,Porpoise,0.01512048,0.1468845,28.64354,0.9133887,0.005128013,0.0002663884,0.1338962,0,0,0.01272185,0.9981864
8,Lingcod,0.07724275,0.5781453,3.241389,0.8426117,0.1783634,0.02056439,0.4665876,0,0,0.09099329,0.9644304
9,Arrowtooth_L,3.890297,0.252065,1.448639,0.1345033,0.1740012,0.000375265,0.03352831,0,0,0.2181614,0.9985113
10,Salmon_L,3.431767,1.51405,11.65858,0.678564,0.1298658,0.5418549,0.4855249,0,0,0.4866702,0.6421156
11,Pacific_cod,0.3070828,1.240165,3.923874,0.6393652,0.3160563,0.2160729,0.5768452,0,0,0.4472466,0.8257708
12,Sablefish,0.484066,0.5549332,6.307756,0.8448812,0.08797634,0.03865239,0.4302003,0,0,0.0860806,0.9303477
13,Arrowtooth_S,0.2341972,0.2138659,3.283508,0.9718783,0.06513334,0,0.2078516,0,0,0.006014274,1
14,Spiny_dogfish,0.1578801,0.09040821,3.011624,0.7202068,0.03001975,0,0.06511261,0,0,0.0252956,1
15,Avian_raptors,0.003290316,0.04971625,35.86191,0,0.001386325,0,0,0,0,0.04971625,1
16,Octopods,0.1566769,3.049443,11.83733,0.9508645,0.2576124,0.001474929,2.898132,0,0,0.1498359,0.9995163
17,Seabirds,0.02219623,0.1724986,147.8662,0.6456051,0.001166585,0,0.111366,0,0,0.06113261,1
18,Deep_demersals,1.003086,0.9912406,3.249465,0.9448081,0.3050473,0.002693562,0.9338385,0,0,0.05470842,0.9972826
19,Pollock_L,4.969744,1.263783,2.568733,0.5722837,0.4919868,0.0327872,0.6904551,0,0,0.5405404,0.9740563
20,Rockfish,1.048436,0.3022494,3.426158,0.7476993,0.08821819,0.0130757,0.212916,0,0,0.07625776,0.9567387
21,Baleen_whales,0.1485869,0.04994,10.84605,0.07576104,0.004604442,0,0.003783506,0,0,0.04615649,1
22,Salmon_fry_S,0.7796887,2.176038,26.66672,0.1700243,0.08160125,0,0.3699793,0,0,1.806058,1
23,Nshore_demersal,4.235635,1.013271,4.220327,0.7685425,0.240093,3.793768E-05,0.778704,0,0,0.2345292,0.9999626
24,Squids,3.025876,2.9847,14.56509,0.9253129,0.2049215,3.873408E-05,2.761743,0,0,0.2229185,0.999987
