parameter,value
"Total consumption",6737.185
"Sum of all exports",1169.964
"Sum of all respiratory flows",2394.134
"Sum of all flows into detritus",3922.677
"Total system throughput",14223.96
"Sum of all production",5247.842
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006506467
"Calculated total net primary production",3509.769
"Total primary production/total respiration",1.465986
"Net system production",1115.634
"Total primary production/total biomass",8.159935
"Total biomass/total throughput",0.03023927
"Total biomass (excluding detritus)",430.1221
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002415
"Total market value",2.14144
"Total shadow value",0.06917761
"Total value",2.210618
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4974662
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033271
