parameter,value
"Total consumption",6830.792
"Sum of all exports",1116.455
"Sum of all respiratory flows",2471.119
"Sum of all flows into detritus",3904.281
"Total system throughput",14322.65
"Sum of all production",5248.926
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006465786
"Calculated total net primary production",3531.851
"Total primary production/total respiration",1.429252
"Net system production",1060.732
"Total primary production/total biomass",8.191106
"Total biomass/total throughput",0.03010486
"Total biomass (excluding detritus)",431.1812
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004001
"Total market value",2.14144
"Total shadow value",0.07354712
"Total value",2.214987
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5018357
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030708
