parameter,value
"Total consumption",6738.592
"Sum of all exports",1175.971
"Sum of all respiratory flows",2398.938
"Sum of all flows into detritus",3922.57
"Total system throughput",14236.07
"Sum of all production",5253.803
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006488992
"Calculated total net primary production",3519.221
"Total primary production/total respiration",1.466991
"Net system production",1120.283
"Total primary production/total biomass",8.173474
"Total biomass/total throughput",0.03024473
"Total biomass (excluding detritus)",430.5661
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003597
"Total market value",2.14144
"Total shadow value",0.07006632
"Total value",2.211506
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4983548
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029953
