parameter,value
"Total consumption",6745.179
"Sum of all exports",1101.842
"Sum of all respiratory flows",2411.067
"Sum of all flows into detritus",3869.982
"Total system throughput",14128.07
"Sum of all production",5184.505
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006604243
"Calculated total net primary production",3457.806
"Total primary production/total respiration",1.43414
"Net system production",1046.74
"Total primary production/total biomass",8.019813
"Total biomass/total throughput",0.03051783
"Total biomass (excluding detritus)",431.158
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001181
"Total market value",2.14144
"Total shadow value",0.0736379
"Total value",2.215078
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5019265
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030355
