parameter,value
"Total consumption",6880.907
"Sum of all exports",1056.568
"Sum of all respiratory flows",2486.075
"Sum of all flows into detritus",3824.384
"Total system throughput",14247.93
"Sum of all production",5219.932
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006548131
"Calculated total net primary production",3487.437
"Total primary production/total respiration",1.402788
"Net system production",1001.362
"Total primary production/total biomass",8.071628
"Total biomass/total throughput",0.03032448
"Total biomass (excluding detritus)",432.0612
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999644
"Total market value",2.14144
"Total shadow value",0.07831413
"Total value",2.219754
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5066026
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032543
