parameter,value
"Total consumption",6601.72
"Sum of all exports",1146.886
"Sum of all respiratory flows",2344.44
"Sum of all flows into detritus",3825.807
"Total system throughput",13918.85
"Sum of all production",5143.7
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006647254
"Calculated total net primary production",3435.433
"Total primary production/total respiration",1.465353
"Net system production",1090.993
"Total primary production/total biomass",8.072803
"Total biomass/total throughput",0.0305741
"Total biomass (excluding detritus)",425.5564
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2006872
"Total market value",2.14144
"Total shadow value",0.06966285
"Total value",2.211103
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4979514
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03701
