parameter,value
"Total consumption",6741.843
"Sum of all exports",1165.076
"Sum of all respiratory flows",2422.059
"Sum of all flows into detritus",3902.769
"Total system throughput",14231.75
"Sum of all production",5246.265
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006464901
"Calculated total net primary production",3532.335
"Total primary production/total respiration",1.458401
"Net system production",1110.275
"Total primary production/total biomass",8.223075
"Total biomass/total throughput",0.03018349
"Total biomass (excluding detritus)",429.5638
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004051
"Total market value",2.14144
"Total shadow value",0.06777317
"Total value",2.209213
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4960617
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033976
