parameter,value
"Total consumption",6746.804
"Sum of all exports",1211.449
"Sum of all respiratory flows",2406.591
"Sum of all flows into detritus",3980.955
"Total system throughput",14345.8
"Sum of all production",5295.534
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000640806
"Calculated total net primary production",3563.667
"Total primary production/total respiration",1.480795
"Net system production",1157.077
"Total primary production/total biomass",8.285774
"Total biomass/total throughput",0.02998053
"Total biomass (excluding detritus)",430.0947
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1998867
"Total market value",2.14144
"Total shadow value",0.06809894
"Total value",2.209539
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4963876
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.02713
