parameter,value
"Total consumption",6819.832
"Sum of all exports",1181.285
"Sum of all respiratory flows",2457.89
"Sum of all flows into detritus",3903.178
"Total system throughput",14362.19
"Sum of all production",5309.208
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006372848
"Calculated total net primary production",3583.357
"Total primary production/total respiration",1.4579
"Net system production",1125.467
"Total primary production/total biomass",8.346257
"Total biomass/total throughput",0.02989358
"Total biomass (excluding detritus)",429.3371
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002158
"Total market value",2.14144
"Total shadow value",0.07278927
"Total value",2.214229
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5010778
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.038379
