parameter,value
"Total consumption",6650.23
"Sum of all exports",1132.698
"Sum of all respiratory flows",2365.353
"Sum of all flows into detritus",3828.901
"Total system throughput",13977.18
"Sum of all production",5158.596
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006632736
"Calculated total net primary production",3442.952
"Total primary production/total respiration",1.455577
"Net system production",1077.6
"Total primary production/total biomass",8.072518
"Total biomass/total throughput",0.03051423
"Total biomass (excluding detritus)",426.5029
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004427
"Total market value",2.14144
"Total shadow value",0.06902975
"Total value",2.21047
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4973184
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.037196
