parameter,value
"Total consumption",6752.162
"Sum of all exports",1178.499
"Sum of all respiratory flows",2387.03
"Sum of all flows into detritus",3876.621
"Total system throughput",14194.31
"Sum of all production",5265.498
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006505864
"Calculated total net primary production",3510.094
"Total primary production/total respiration",1.470486
"Net system production",1123.064
"Total primary production/total biomass",8.152478
"Total biomass/total throughput",0.03033295
"Total biomass (excluding detritus)",430.5554
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003147
"Total market value",2.14144
"Total shadow value",0.07240336
"Total value",2.213843
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.500692
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031833
