parameter,value
"Total consumption",6819.633
"Sum of all exports",1038.968
"Sum of all respiratory flows",2471.788
"Sum of all flows into detritus",3799.719
"Total system throughput",14130.11
"Sum of all production",5165.724
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006610579
"Calculated total net primary production",3454.492
"Total primary production/total respiration",1.397568
"Net system production",982.7046
"Total primary production/total biomass",8.039617
"Total biomass/total throughput",0.03040909
"Total biomass (excluding detritus)",429.6837
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999877
"Total market value",2.14144
"Total shadow value",0.07286588
"Total value",2.214306
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5011545
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035208
