parameter,value
"Total consumption",6752.229
"Sum of all exports",1184.518
"Sum of all respiratory flows",2402.304
"Sum of all flows into detritus",3929.202
"Total system throughput",14268.25
"Sum of all production",5271.516
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006466071
"Calculated total net primary production",3531.696
"Total primary production/total respiration",1.470128
"Net system production",1129.391
"Total primary production/total biomass",8.238983
"Total biomass/total throughput",0.03004269
"Total biomass (excluding detritus)",428.6567
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003598
"Total market value",2.14144
"Total shadow value",0.06733543
"Total value",2.208775
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4956239
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028819
