parameter,value
"Total consumption",6689.643
"Sum of all exports",1103.666
"Sum of all respiratory flows",2371.149
"Sum of all flows into detritus",3804.076
"Total system throughput",13968.53
"Sum of all production",5153.68
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006675665
"Calculated total net primary production",3420.812
"Total primary production/total respiration",1.442681
"Net system production",1049.662
"Total primary production/total biomass",7.978132
"Total biomass/total throughput",0.03069567
"Total biomass (excluding detritus)",428.7735
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000083
"Total market value",2.14144
"Total shadow value",0.07080313
"Total value",2.212243
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4990917
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031367
