parameter,value
"Total consumption",6688.151
"Sum of all exports",1145.264
"Sum of all respiratory flows",2378.876
"Sum of all flows into detritus",3868.196
"Total system throughput",14080.49
"Sum of all production",5194.4
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006581008
"Calculated total net primary production",3470.014
"Total primary production/total respiration",1.458678
"Net system production",1091.138
"Total primary production/total biomass",8.090464
"Total biomass/total throughput",0.03046072
"Total biomass (excluding detritus)",428.9018
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999486
"Total market value",2.14144
"Total shadow value",0.06974384
"Total value",2.211184
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4980325
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036803
