parameter,value
"Total consumption",6784.584
"Sum of all exports",1052.907
"Sum of all respiratory flows",2469.031
"Sum of all flows into detritus",3802.882
"Total system throughput",14109.4
"Sum of all production",5160.454
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006587521
"Calculated total net primary production",3466.584
"Total primary production/total respiration",1.404026
"Net system production",997.5527
"Total primary production/total biomass",8.095703
"Total biomass/total throughput",0.03034859
"Total biomass (excluding detritus)",428.2005
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.199865
"Total market value",2.14144
"Total shadow value",0.07146306
"Total value",2.212903
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4997517
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035348
