parameter,value
"Total consumption",6724.345
"Sum of all exports",1182.487
"Sum of all respiratory flows",2378.065
"Sum of all flows into detritus",3923.036
"Total system throughput",14207.93
"Sum of all production",5253.001
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006513748
"Calculated total net primary production",3505.846
"Total primary production/total respiration",1.474243
"Net system production",1127.781
"Total primary production/total biomass",8.153162
"Total biomass/total throughput",0.03026466
"Total biomass (excluding detritus)",429.9983
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004912
"Total market value",2.14144
"Total shadow value",0.07174778
"Total value",2.213188
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5000364
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033211
