parameter,value
"Total consumption",6894.41
"Sum of all exports",1111.834
"Sum of all respiratory flows",2502.34
"Sum of all flows into detritus",3919.234
"Total system throughput",14427.82
"Sum of all production",5285.061
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006415561
"Calculated total net primary production",3559.501
"Total primary production/total respiration",1.422469
"Net system production",1057.16
"Total primary production/total biomass",8.207083
"Total biomass/total throughput",0.03006073
"Total biomass (excluding detritus)",433.7108
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000148
"Total market value",2.14144
"Total shadow value",0.07411056
"Total value",2.21555
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5023991
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031509
