parameter,value
"Total consumption",6622.579
"Sum of all exports",1046.911
"Sum of all respiratory flows",2367.25
"Sum of all flows into detritus",3743.704
"Total system throughput",13780.44
"Sum of all production",5056.304
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006796187
"Calculated total net primary production",3360.148
"Total primary production/total respiration",1.419431
"Net system production",992.8979
"Total primary production/total biomass",7.876754
"Total biomass/total throughput",0.03095622
"Total biomass (excluding detritus)",426.5904
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001955
"Total market value",2.14144
"Total shadow value",0.07173821
"Total value",2.213178
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5000268
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.0377
