parameter,value
"Total consumption",6824.154
"Sum of all exports",1051.463
"Sum of all respiratory flows",2441.119
"Sum of all flows into detritus",3826.885
"Total system throughput",14143.62
"Sum of all production",5181.831
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006641544
"Calculated total net primary production",3438.386
"Total primary production/total respiration",1.408529
"Net system production",997.2676
"Total primary production/total biomass",7.938865
"Total biomass/total throughput",0.03062215
"Total biomass (excluding detritus)",433.108
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001538
"Total market value",2.14144
"Total shadow value",0.07562562
"Total value",2.217066
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5039142
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.02702
