parameter,value
"Total consumption",6822.877
"Sum of all exports",1087.27
"Sum of all respiratory flows",2450.344
"Sum of all flows into detritus",3862.951
"Total system throughput",14223.44
"Sum of all production",5216.932
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006557076
"Calculated total net primary production",3482.68
"Total primary production/total respiration",1.421302
"Net system production",1032.335
"Total primary production/total biomass",8.099842
"Total biomass/total throughput",0.03022959
"Total biomass (excluding detritus)",429.9688
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005517
"Total market value",2.14144
"Total shadow value",0.0713848
"Total value",2.212825
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4996735
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032042
