parameter,value
"Total consumption",6741.134
"Sum of all exports",1056.046
"Sum of all respiratory flows",2446.47
"Sum of all flows into detritus",3789.693
"Total system throughput",14033.34
"Sum of all production",5135.207
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006625859
"Calculated total net primary production",3446.526
"Total primary production/total respiration",1.408775
"Net system production",1000.055
"Total primary production/total biomass",8.029891
"Total biomass/total throughput",0.03058516
"Total biomass (excluding detritus)",429.212
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200403
"Total market value",2.14144
"Total shadow value",0.07226826
"Total value",2.213708
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5005568
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033412
