parameter,value
"Total consumption",6857.187
"Sum of all exports",1216.789
"Sum of all respiratory flows",2440.347
"Sum of all flows into detritus",3995.661
"Total system throughput",14509.98
"Sum of all production",5365.922
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006339409
"Calculated total net primary production",3602.26
"Total primary production/total respiration",1.476126
"Net system production",1161.912
"Total primary production/total biomass",8.33526
"Total biomass/total throughput",0.0297844
"Total biomass (excluding detritus)",432.1712
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002995
"Total market value",2.14144
"Total shadow value",0.07354274
"Total value",2.214983
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5018314
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032337
