parameter,value
"Total consumption",6827.591
"Sum of all exports",1132.597
"Sum of all respiratory flows",2455.623
"Sum of all flows into detritus",3910.005
"Total system throughput",14325.82
"Sum of all production",5265.165
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006465085
"Calculated total net primary production",3532.234
"Total primary production/total respiration",1.438427
"Net system production",1076.611
"Total primary production/total biomass",8.245296
"Total biomass/total throughput",0.02990363
"Total biomass (excluding detritus)",428.3939
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000114
"Total market value",2.14144
"Total shadow value",0.07209975
"Total value",2.21354
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5003883
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.037471
