parameter,value
"Total consumption",6735.299
"Sum of all exports",1273.991
"Sum of all respiratory flows",2358.157
"Sum of all flows into detritus",3972.19
"Total system throughput",14339.64
"Sum of all production",5348.613
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006383442
"Calculated total net primary production",3577.411
"Total primary production/total respiration",1.517037
"Net system production",1219.254
"Total primary production/total biomass",8.302605
"Total biomass/total throughput",0.03004805
"Total biomass (excluding detritus)",430.8782
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002409
"Total market value",2.14144
"Total shadow value",0.06807365
"Total value",2.209514
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4963623
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.02974
