parameter,value
"Total consumption",6821.44
"Sum of all exports",1134.22
"Sum of all respiratory flows",2444.257
"Sum of all flows into detritus",3893.232
"Total system throughput",14293.15
"Sum of all production",5262.677
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006480899
"Calculated total net primary production",3523.615
"Total primary production/total respiration",1.44159
"Net system production",1079.359
"Total primary production/total biomass",8.09233
"Total biomass/total throughput",0.030464
"Total biomass (excluding detritus)",435.4265
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003994
"Total market value",2.14144
"Total shadow value",0.07345915
"Total value",2.214899
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5017477
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.02947
