parameter,value
"Total consumption",6738.305
"Sum of all exports",1160.626
"Sum of all respiratory flows",2432.877
"Sum of all flows into detritus",3864.462
"Total system throughput",14196.27
"Sum of all production",5238.78
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006454456
"Calculated total net primary production",3538.051
"Total primary production/total respiration",1.454266
"Net system production",1105.174
"Total primary production/total biomass",8.251998
"Total biomass/total throughput",0.03020165
"Total biomass (excluding detritus)",428.7508
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003806
"Total market value",2.14144
"Total shadow value",0.0709751
"Total value",2.212415
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4992636
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03709
