parameter,value
"Total consumption",6734.707
"Sum of all exports",1093.312
"Sum of all respiratory flows",2414.889
"Sum of all flows into detritus",3820.8
"Total system throughput",14063.71
"Sum of all production",5167.568
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006613593
"Calculated total net primary production",3452.918
"Total primary production/total respiration",1.429845
"Net system production",1038.029
"Total primary production/total biomass",8.048447
"Total biomass/total throughput",0.03050523
"Total biomass (excluding detritus)",429.0167
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2006583
"Total market value",2.14144
"Total shadow value",0.07171812
"Total value",2.213158
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5000068
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029872
