parameter,value
"Total consumption",6750.873
"Sum of all exports",1120.957
"Sum of all respiratory flows",2405.133
"Sum of all flows into detritus",3824.991
"Total system throughput",14101.95
"Sum of all production",5206.886
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006577121
"Calculated total net primary production",3472.065
"Total primary production/total respiration",1.443606
"Net system production",1066.932
"Total primary production/total biomass",8.065587
"Total biomass/total throughput",0.03052619
"Total biomass (excluding detritus)",430.479
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003559
"Total market value",2.14144
"Total shadow value",0.0735799
"Total value",2.21502
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5018684
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035268
