GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.001034408,0.04951022,5.955243,0,0.00831372,0,0,0,0,0.04951022,1
2,Salmon_sharks,0.2172415,0.1011768,6.029474,0.5219707,0.01678037,0.05281132,0,0,0,0.04836547,0.4780293
3,Resident_orca,0.01458534,0.04918646,8.575639,0,0.005735604,0,0,0,0,0.04918646,1
4,Sleeper_sharks,0.1115141,0.06984004,3.704035,0,0.01885513,0,0,0,0,0.06984004,1
5,Halibut,0.667469,0.3092752,1.71913,0.2670519,0.1799021,0.02568587,0.05690664,0,0,0.2266826,0.9169481
6,Pinnipeds,0.0725574,0.06046476,26.03561,0.8095328,0.002322387,0.009093173,0.03985503,0,0,0.01151655,0.849612
7,Porpoise,0.01496965,0.1473958,29.18793,0.959468,0.005049889,0.0002690724,0.1411525,0,0,0.005974245,0.9981745
8,Lingcod,0.07850588,0.5776369,3.27649,0.8189461,0.1762975,0.02023352,0.45282,0,0,0.1045834,0.9649719
9,Arrowtooth_L,3.928801,0.2518542,1.441076,0.1408286,0.1747682,0.0003715871,0.03509669,0,0,0.2163859,0.9985246
10,Salmon_L,3.423368,1.576324,11.58977,0.6617838,0.1360099,0.5431845,0.5000009,0,0,0.5331383,0.6554105
11,Pacific_cod,0.3009419,1.209564,4.001103,0.6811397,0.3023076,0.2204821,0.6033999,0,0,0.3856819,0.8177177
12,Sablefish,0.4870091,0.5772333,6.46587,0.8286006,0.08927387,0.0384188,0.439877,0,0,0.09893741,0.9334432
13,Arrowtooth_S,0.2363247,0.2145521,3.26728,0.964561,0.0656669,0,0.2069487,0,0,0.007603504,1
14,Spiny_dogfish,0.1616667,0.08912161,2.992637,0.7376185,0.02978029,0,0.06573775,0,0,0.02338386,1
15,Avian_raptors,0.003309891,0.0501726,36.35014,0,0.001380259,0,0,0,0,0.0501726,1
16,Octopods,0.1598628,3.070363,11.74898,0.9368643,0.2613301,0.001445535,2.875068,0,0,0.1938495,0.9995292
17,Seabirds,0.02202228,0.1685144,148.5276,0.6795381,0.001134566,0,0.114512,0,0,0.05400245,1
18,Deep_demersals,1.004289,0.9955143,3.183002,0.9460786,0.3127596,0.002690336,0.9391444,0,0,0.05367953,0.9972975
19,Pollock_L,4.871579,1.301008,2.587868,0.5755193,0.5027334,0.03344788,0.7153072,0,0,0.5522527,0.9742908
20,Rockfish,1.077514,0.2977224,3.469644,0.7514083,0.08580778,0.01272284,0.2109883,0,0,0.07401131,0.9572661
21,Baleen_whales,0.1455553,0.04915844,10.61978,0.08200022,0.004628951,0,0.004031003,0,0,0.04512744,1
22,Salmon_fry_S,0.839213,2.20295,26.26866,0.1562405,0.0838623,0,0.3441902,0,0,1.85876,1
23,Nshore_demersal,4.298853,0.9762203,4.126387,0.7901658,0.2365799,3.737978E-05,0.7713384,0,0,0.2048444,0.9999617
24,Squids,2.971489,3.087448,15.32986,0.9283541,0.2014009,3.944302E-05,2.866205,0,0,0.2212028,0.9999872
25,Eulachon,1.126595,2.490873,17.81972,0.6594239,0.1397819,0.000115972,1.642426,0,0,0.8483318,0.9999534
26,Sea_otters,0.04154947,0.128344,117.7058,0.005534652,0.00109038,4.272593E-06,0.0007060667,0,0,0.1276337,0.9999667
27,Deep_epibenthos,30.45238,2.975781,10.07077,0.9499139,0.295487,0.0001535119,2.826582,0,0,0.1490452,0.9999484
28,Capelin,0.447443,3.538843,17.85077,0.5420639,0.198246,0.0001434616,1.918135,0,0,1.620564,0.9999595
29,Herring_L,2.950226,0.3818379,3.386642,0.990344,0.1127482,0.0003575018,0.3777933,0,0,0.003687031,0.9990637
30,Pollock_S,0.6042929,2.316585,7.255561,0.3971414,0.3192841,0,0.9200121,0,0,1.396573,1
31,Invert_eat_seaduck,0.0002697254,0.1983311,146.3145,0.7584947,0.001355512,0,0.1504331,0,0,0.04789802,1
32,Oystercatchers,0.0002994343,0.3027498,146.5423,0.9290582,0.002065955,0,0.2812722,0,0,0.02147762,1
33,Sandlance,0.5996424,2.025549,18.00999,0.7171514,0.1124681,0,1.452626,0,0,0.5729237,1
34,Sunflower_stars,0.3824454,2.019461,9.73492,0.8990402,0.2074451,0,1.815577,0,0,0.2038845,1
35,Pisaster_Evasterias,0.9774996,2.031473,10.06397,0.5827874,0.2018561,0,1.183917,0,0,0.8475563,1
36,Leather_stars,0.9920757,2.014053,9.941517,0.5302386,0.2025901,0,1.067929,0,0,0.9461246,1
37,Cucumbers,0.5239381,0.5974581,3.438668,0.7482755,0.173747,1.433375E-07,0.4470631,0,0,0.1503948,0.9999998
38,Urchins,0.5864108,0.6093299,2.837038,0.7650189,0.2147768,3.308261E-07,0.4661485,0,0,0.143181,0.9999995
39,Helmet_crab,0.7826813,1.993088,9.880023,0.9174202,0.201729,0,1.828499,0,0,0.1645887,1
40,Herring_S,1.94686,1.487874,7.985978,0.7680585,0.1863108,0,1.142774,0,0,0.3450997,1
41,Jellies,6.430248,4.935835,29.92335,0.05655528,0.1649493,0,0.2791475,0,0,4.656687,1
42,Deep_infauna_S,49.35438,3.04135,22.24594,0.9084539,0.1367148,0,2.762926,0,0,0.2784236,1
43,Zoopl_near_onmiv,0.1110232,7.999244,26.22325,0.6556197,0.305044,0,5.244462,0,0,2.754782,1
44,Zoop_omniv,25.34094,12.32378,22.67072,0.7666835,0.5435989,0,9.448437,0,0,2.875341,1
45,Shallow_infauna_S,50.86171,3.681787,23.25775,0.9492862,0.1583037,0,3.49507,0,0,0.1867173,1
46,Meiofauna,4.870045,4.412841,23.3738,0.9607605,0.1887943,0,4.239683,0,0,0.1731578,1
47,Deep_infauna_L,28.00381,0.5861456,23.10299,0.9948933,0.02537098,0,0.5831524,0,0,0.002993262,1
48,Snail_crust_S,19.55149,2.236943,10.06228,0.9827597,0.2223098,8.256555E-07,2.198376,0,0,0.03856553,0.9999996
49,Mussels,8.635345,2.292103,9.699259,0.3873593,0.2363173,4.633422E-07,0.8878668,0,0,1.404235,0.9999998
50,Barnacles,8.617348,2.251363,10.07078,0.3493611,0.2235539,0,0.7865384,0,0,1.464824,1
51,Shallow_infauna_clams,12.90207,0.5917579,22.73156,0.604661,0.02603244,3.843772E-05,0.3577745,0,0,0.233945,0.999935
52,Zoopl_near_herb,2.502149,26.76381,89.51251,0.7940644,0.2989952,0,21.25219,0,0,5.511621,1
53,Zoopl_herb,29.85411,24.03993,49.29196,0.6908728,0.487705,0,16.60854,0,0,7.431396,1
54,Phyto_near,5.663214,188.8811,0,0.9545695,-9999,0,180.3001,0,0,8.58096,1
55,Phyto_off,10.2478,195.4652,0,0.9586876,-9999,0,187.3901,0,0,8.075136,1
56,Fucus,25.70862,4.090602,0,0.01934005,-9999,0,0.07911247,0,0,4.01149,1
57,Subtidal_kelps,24.63169,3.91684,0,0.2016297,-9999,0,0.7897512,0,0,3.127089,1
58,Macroalgae_other,24.84956,3.979118,0,0.2894703,-9999,0,1.151837,0,0,2.827281,1
59,Eelgrass,24.81916,3.980073,0,0,-9999,0,0,0,0,3.980073,1
60,Nekton_falls,2,-9999,-9999,0.7541231,-9999,0,0,0,-1.25,-2458.523,1
