parameter,value
"Total consumption",6847.414
"Sum of all exports",1067.164
"Sum of all respiratory flows",2489.808
"Sum of all flows into detritus",3841.921
"Total system throughput",14246.31
"Sum of all production",5210.514
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006522885
"Calculated total net primary production",3500.935
"Total primary production/total respiration",1.406106
"Net system production",1011.126
"Total primary production/total biomass",8.123422
"Total biomass/total throughput",0.0302512
"Total biomass (excluding detritus)",430.968
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003798
"Total market value",2.14144
"Total shadow value",0.07287887
"Total value",2.214319
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5011674
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031184
