parameter,value
"Total consumption",6770.053
"Sum of all exports",1156.08
"Sum of all respiratory flows",2408.128
"Sum of all flows into detritus",3904.756
"Total system throughput",14239.02
"Sum of all production",5252.926
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006509768
"Calculated total net primary production",3507.989
"Total primary production/total respiration",1.456728
"Net system production",1099.86
"Total primary production/total biomass",8.083493
"Total biomass/total throughput",0.03047748
"Total biomass (excluding detritus)",433.9694
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999261
"Total market value",2.14144
"Total shadow value",0.07537566
"Total value",2.216815
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5036641
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035319
