parameter,value
"Total consumption",6780.525
"Sum of all exports",1110.081
"Sum of all respiratory flows",2429.37
"Sum of all flows into detritus",3856.774
"Total system throughput",14176.75
"Sum of all production",5213.57
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006553917
"Calculated total net primary production",3484.358
"Total primary production/total respiration",1.434264
"Net system production",1054.988
"Total primary production/total biomass",8.11095
"Total biomass/total throughput",0.03030222
"Total biomass (excluding detritus)",429.5869
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004117
"Total market value",2.14144
"Total shadow value",0.07090413
"Total value",2.212344
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4991926
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028822
